title,price,rating,reviews,availability,category,sales_rank,brand
"GEEKOM Rose Gold A5 Mini PC,AMD Ryzen7 5800H 32GB DDR4 512G SSD Mini Computer(8C/16T,up to 4.4 GHz),Mini Desktop Computer Support 2*HDMI+2*Type-C Four-Screen 4K+8K Output,WiFi6, BT4.0, USB3.2,WOL,RJ45",$594.15,4.7 out of 5 stars,10 ratings,In stock,Computers,"8,402",‎GEEKOM
"GEEKOM A7 Mini PC,Mini Desktop Computer AMD Ryzen 7 7840HS up to 5.1 GHz 32 GB DDR5 1TB SSD HDMI2.0/USB Type-C Wi-Fi 6E/BT5.2, RJ45 2.5G LAN for Business Home Office Game","$1,299.99",5.0 out of 5 stars,4,In stock,Computers,"19,881",‎GEEKOM
"GEEKOM Mini IT12 Mini PC,12th Gen Intel Core i7-12650H (up to 4.70 GHz) 32G DDR4 RAM 1TB SSD Mini Computer, Mini Desktop Computer,Support Dual HDMI+Dual USB4.0/WiFi 6E/BT5.2/Windows 11 Pro",$999.00,4.6 out of 5 stars,22 ratings,In stock,Computers,"18,216",‎GEEKOM
HP ProDesk 800 G4 Intel i5-8500T 8GB 256GB Win11pro (NO WiFi) (Renewed),$289.00,Previous page of related Sponsored Products,,In stock,,,‎HP
(Renewed) Dell OptiPlex 7040 SFF Desktop PC Core i7 6700 3.40GHz 16GB RAM 240GB M.2 SSD Windows 11 with USB WiFi and Bluetooth Dongle,$445.00,5.0 out of 5 stars,3,Only 5 left in stock.,Computers,"30,067",‎DELL
HP EliteDesk 800 G5 i5 Desktop PC (7YX54PA) (Renewed),$349.00,Previous page of related Sponsored Products,,Only 5 left in stock.,Computers,"19,545",‎HP
"GEEKOM Mini IT12 Mini PC,12th Gen Intel Core i7-12650H (up to 4.70 GHz) 32G DDR4 RAM 1TB SSD Mini Computer, Mini Desktop Computer,Support Dual HDMI+Dual USB4.0/WiFi 6E/BT5.2/Windows 11 Pro",$999.00,4.6 out of 5 stars,22 ratings,In stock,Computers,"18,216",‎GEEKOM
ACER Aspire XC-1780 Desktop,"$1,099.00",5.0 out of 5 stars,2 ratings,Only 1 left in stock.,Computers,"14,327",‎ACER
"MINISFORUM UM780 XTX AMD Ryzen 7 7840HS,8C/16T 32GB DDR5 1TB PCIe SSD 4.0 Mini Desktop PC,2 x RJ45 2.5 G,HDMI2.1/DP/2xUSB4,1xOP,4XUSB Port,WIFI6E & BT5,Mini Computer","$1,129.99",4.2 out of 5 stars,80 ratings,In stock,Computers,"2,819",‎MINISFORUM
"Mini PC AMD Ryzen 7 5800H(8C/16T, Up to 4.4GHz) 16G DDR4 500G NVME SSD, Trigkey Speed S5 Mini Desktop Computer,Support Radeon Graphics 8Cores 2000MHz| WiFi6 | BT5.2 | HDMI |DP| Type-C | USB 3.2",$689.00,4.6 out of 5 stars,87 ratings,In stock,Computers,"4,246",‎TRIGKEY
"KAMRUI Mini PC, 12th Gen Intel i5-12450H Mini Computers(8 Cores,12 Threads) 16GB DDR4 512GB PCIe SSD Windows 11 Pro Desktop Computer Support Wi-Fi 6/BT5.2 Office,Business,Home",$499.00,4.2 out of 5 stars,262 ratings,In stock,Computers,"3,563",‎KAMRUI
"Beelink N5095 Processor Business Mini PC, Intel 11th Gen 4 Cores, 8GB DDR4 128G SSD, 4K Dual HDMI Office PC Mini, Auto Power On/Wake On LAN, 2.4G/5G WiFi, Gigabit Ethernet, USB 3.0",$269.00,4.5 out of 5 stars,35 ratings,In stock,Computers,"1,535",‎Beelink
Lenovo ThinkCentre M80s Gen3 SFF Desktop PC i7-12700 16GB RAM 512GB SSD DVDRW Windows 10/11 Pro,"$1,290.00",4.6 out of 5 stars,,Only 4 left in stock.,,,‎Lenovo
"Mini Desktop Computers,DreamQuest Mini PC Windows 11 Pro,12th Gen Intel N95 (up to 3.40GHz) 16GB 512GB SSD with 4K HDMI/USB3.2/Dual-Band WiFi5,Bluetooth 4.2,2X Gigabit for Office",$309.99,4.6 out of 5 stars,17,In stock,Computers,"8,620",‎DreamQuest
"GEEKOM Mini IT13 Mini PC 13th Gen Intel Core i5-13500H (up to 4.70 GHz),16G DDR4 512G SSD,Support Extension Mini Computer Desktop, Support Four-Screen Display/Windows 11 Pro/WiFi 6E/BT5.2/2.5G LAN",$849.00,4.8 out of 5 stars,8 ratings,In stock,Computers,"9,938",‎GEEKOM
Thermaltake Computer System Infinity Xtreme V2 - Intel 12700 / RTX 4080 / Z690 / 32GB RGB RAM / H570 ARGB,"$3,038.95",4.4 out of 5 stars,6,Only 3 left in stock (more on the way).,Computers,"11,045",‎Thermaltake
