title,price,rating,reviews,availability,category,sales_rank,brand
ACER Aspire C27-1700 All-in-ONE Desktop,"$1,699.00",Previous page of related Sponsored Products,,Temporarily out of stock.,Computers,"52,989",‎ACER
Lenovo Desktop PC M700/Win 11/Core i5-6500/wajun WIFI/Bluetooth/DP/DVD-RW/8GB/256GB SSD (Renewed),$329.00,Previous page of related Sponsored Products,,In stock,Computers,"104,055",‎Lenovo
"Mini PC, Intel 12th Gen N100(up to 3.4GHz) 16G RAM 500G SSD, Dual 2.5G LAN Mini Desktop Computer, Dual HDMI 4K Output/Type-C/Triple-Screen Display/ WiFi6/ BT5.2, TRIGKEY Green G5 Mini Computer",$459.00,4.1 out of 5 stars,15 ratings,In stock,Computers,"15,921",‎TRIGKEY
ACER Nitro 50 N50-650 Gaming Desktop,"$2,199.00",Previous page of related Sponsored Products,,Only 3 left in stock (more on the way).,Computers,"65,517",‎ACER
"STGAubron Gaming Desktop PC,Intel Core i7 3.4GHz up to 3.9GHz,GeForce GTX1660Ti 6G GDDR6,32G,1TB SSD, WiFi,BT 5.0,RGB Fanx6,RGB Keybaord&Mouse&Mouse Pad,RGB BT Sound Bar,RGB BT Gaming Mic, W10H64","$1,460.86",3.4 out of 5 stars,137 ratings,In stock,Computers,"108,712",‎STGAubron
"TRIGKEY Mini PC, AMD Ryzen7 5560U(6C/12T,Up to 4.3GHz) 8G DDR4 500G SSD Mini Desktop Computer, DP/HDMI/Type-C/Triple-Screen Display/ WiFi6/ BT5.2 Mini Computer, Business Mini PC",$499.00,4.8 out of 5 stars,16 ratings,In stock,Computers,"24,430",‎TRIGKEY
"GEEKOM Rose Gold A5 Mini PC,AMD Ryzen7 5800H 32GB DDR4 512G SSD Mini Computer(8C/16T,up to 4.4 GHz),Mini Desktop Computer Support 2*HDMI+2*Type-C Four-Screen 4K+8K Output,WiFi6, BT4.0, USB3.2,WOL,RJ45",$594.15,4.7 out of 5 stars,10,In stock,Computers,"8,402",‎GEEKOM
