title,price,rating,reviews,availability,category,sales_rank,brand
TechFast Maverick Ryzen 3 4100 | RX 6650 XT 8GB | 16GB RAM | SSD | Win 11 | Gaming PC | Desktop Computer,$949.00,4.0 out of 5 stars,1,Only 2 left in stock.,Computers,"3,966",‎TechFast
Lenovo Thinkcentre M70s Gen3 SFF i5-12400 8GB RAM 256GB SSD Desktop PC,$749.00,Previous page of related Sponsored Products,,In stock,Computers,"38,394",‎Lenovo
"KAMRUI Ryzen Mini PC Gaming,32GB DDR5 Dual Channel 512GB SSD Mini Computer Tower with AMD Ryzen 7 7735HS, Small Desktop Computers Support 4K Triple Screen,RGB Lights,WiFi6,BT5.2,Type C",$849.00,3.3 out of 5 stars,3 ratings,In stock,Computers,"27,722",‎KAMRUI
"GEEKOM A7 PC,32 GB DDR5 2TB SSD Desktop Computer, Windows 11 Pro Preinstalled,Mini PC AMD Ryzen 9 7940HS up to 5.2 GHz(8C/16T),4X USB3.2, 1X USB4, Wi-Fi 6E/BT5.2, 2.5G LAN for Business Home Game","$1,499.99",5.0 out of 5 stars,3,In stock,Computers,"5,354",‎GEEKOM
"TRIGKEY 8109U Mini PC (2C/4T, Up to 3.6GHz), 16G DDR4 500G SSD, Mini Desktop Computer Support 2*HDMI, WiFi 5. BT4.0,USB3.0 * 4, Type-C(Data), Auto Power on",$309.00,Previous page of related Sponsored Products,,In stock,Computers,"20,110",‎TRIGKEY
Lenovo Thinkcentre M70q Gen3 Tiny i7-12700T 16GB RAM 512GB SSD Desktop PC,"$1,096.00",4.6 out of 5 stars,,In stock,Computers,"79,284",‎Lenovo
"GEEKOM Mini IT12 Mini PC,Intel 12th Gen Core i5-12450H (up to 4.40 GHz) Mini Computer,16GB RAM 512GB SSD,Support Extension,WiFi 6E/BT5.2/2.5GbE LAN RJ45 /Windows 11 Pro Home Office Desktop Computer",$636.65,4.7 out of 5 stars,18 ratings,In stock,Computers,"5,710",‎GEEKOM
