title,price,rating,reviews,availability,category,sales_rank,brand
HP Gaming Desktop PC 800 G2 SFF i5-6500 3.6GHz 16GB RAM 1TB SSD 2GB GT1030 + Wi-Fi (Renewed),$599.99,4.6 out of 5 stars,1 rating,Only 1 left in stock.,Computers,"72,721",‎HP
Allied Hive-I Core i3-12100F | GTX 1650 4GB | 16GB RAM | SSD | Windows 11 | Mini Gaming PC | Desktop Computer,"$1,199.00",4.5 out of 5 stars,,Only 3 left in stock.,Computers,"184,953",‎A ALLIED GAME AS ONE.
"HP Envy Desktop PC 2TB SSD 20TB HD 128GB RAM Win 11 PRO (Intel 12th Gen i9-12900K CPU - 3.20GHz Turbo Boost to 5.20GHz, 2 TB SSD + 20 TB HD, 128 GB RAM, NVIDIA GeForce RTX, Win 11 PRO) Computer","$6,791.72",3.6 out of 5 stars,8 ratings,Only 3 left in stock.,,,‎HP
"MXZ Desktop Gaming Computer Home&Office PC R5 5600G,16GB DDR4 3200, 500G NVME SSD，6 RGB Fans, WiFi & Win 11 Pro 64-bit Ready(Ryzen 5 5600G)","$2,188.37",4.2 out of 5 stars,50 ratings,In stock,,,‎MXZ
Dell OptiPlex 7040 SFF Desktop Computer i7-6700 3.4GHz 16GB RAM 256GB SSD + 1TB HDD Windows 10 (Renewed),$499.99,4.6 out of 5 stars,,Only 5 left in stock.,Computers,"76,719",‎DELL
"WEELIAO Intel NUC 10 Frost Canyon NUC10i5FNHN Mini PC Desktop Computer - Intel Core i5 10th Gen i5-10210U Quad-core ((6M Cache, up to 4.20 GHz)) 1.60 GHz DDR4 (Barebone(NO RAM,SSD,OS))",$651.80,Previous page of related Sponsored Products,,In stock,Computers,"106,001",‎WEELIAO
"KAMRUI Mini PC Intel 12th 12450H 【Beat i7-11390H】, Up to 4.4GHz(8C/12T),Mini Computers Desktop 16GB RAM 512GB NVME SATA SSD, Micro PC Small with Triple Display 4K/Type-C/WiFi6/BT5.2/USB3.2 for Office","$1,135.03",4.3 out of 5 stars,318,Only 5 left in stock.,,,‎KAMRUI
