title,price,rating,reviews,availability,category,sales_rank,brand
KUYIA Alixo Desktop Computer Mini PC Windows 10 8GB RAM 128G SSD Celeron J4125(up to 2.7GHz) Processor Supports 4K HD Dual HDMI Dual WiFi (2.4G+5.8G) Ethernet,$350.50,3.7 out of 5 stars,6,In stock,Computers,"181,984",‎KUYIA
Lenovo ThinkCentre M70q Gen 2 11MY001SUS Desktop Computer - Intel Core i5 11th Gen I5-11400T Hexa-core (6 Core) 1.30 GHz - 8 GB RAM DDR4 SDRAM - 256 GB M.2 PCI Express NVMe SSD - Tiny - Black,"$1,603.07",4.7 out of 5 stars,7 ratings,Only 3 left in stock.,,,‎Lenovo
"Partaker Fanless Mini PC, Small Desktop Computer, Nuc Computer, Intel Celeron J4125 Quad Core, 8GB Ram 256GB SSD,1xHD-MI 2xDP 2xLan 6xUSB 1xCOM, Windows 10 Pro",$387.99,Previous page of related Sponsored Products,,In stock,Computers,"71,413",‎Partaker
"HYSTOU Mini PC Windows 11 Pro, AMD Ryzen 7 3750H Mini Computer with 16GB RAM, 512GB NVMe SSD, Micro Desktop Computer, Radeon RX Vega 10 Graphics, DP 4K Dual Screen, Small Computer, HTPC",$789.57,4.5 out of 5 stars,2,Only 1 left in stock.,,,‎HYSTOU
"HUNSN 4K Mini PC, Desktop Computer, Server, 8 Cores I7 10870H, Windows 11 Pro or Linux Ubuntu, BM21b, Wi-Fi 6, BT 5.2, DP, HDMI, 6 x USB3.0, Type-C, LAN, Smart Fan, 64G RAM, 2TB SSD","$1,262.99",Previous page of related Sponsored Products,,In stock,Computers,"98,236",‎HUNSN
"KINGDEL Mini PC Intel i5-13420H CPU 8C/12T 32GB DDR5 RAM 1TB NVMe SSD,Dedicated RTX4060 8G Graphics W-11 pro with 2xLAN Type-C,Desktop Computer Quad Display HD*1/DP*3/WiFi6E/BT5.2","$1,583.12",Previous page of related Sponsored Products,,Usually dispatched within 3 to 4 days,,,‎KINGDEL
"MeLE Quieter2D Fanless Mini PC Windows 11 Celeron N4000 4GB/128GB Ultra-Thin Small Desktop Computer 4K@60Hz, 2xHDMI2.0, Dual Band WiFi, 4xUSB3.0 Gigabit Ethernet, BT 4.2",$338.08,4.1 out of 5 stars,31 ratings,In stock,Computers,"68,584",‎MeLE
