title,price,rating,reviews,availability,category,sales_rank,brand
"HEIGAOLAPC Mini PC Windows 11 Pro, Intel Celeron J4125 (2.7G) 8GB DDR4 256GB eMMC Desktop Computer, Mini Computer 4K @ 60Hz | Supports Triple Display | WiFi 6| BT 5.2| RJ45 LAN | HDMI × 2 Business",$429.99,3.9 out of 5 stars,100 ratings,In stock,Computers,"13,474",‎HEIGAOLAPC
ACER Aspire C27-1700 All-in-ONE Desktop,"$1,299.00",Previous page of related Sponsored Products,,In stock,Computers,"93,679",‎ACER
"Dual Xeon CPU Desktop/Server 2699x2 v4, 44Core 88Thread Max @3.60Ghz, 64GB RAM, 1TB Solid State NVMe, 2GB GPU, 900W Power Supply PSU, Win11 Pro, Gaming Desktop/Server/Workstation PC","$1,689.00",Previous page of related Sponsored Products,,Only 1 left in stock.,Computers,"119,899",‎Generic
"GEEKOM Mini IT13 Mini PC, 32GB RAM 1TB SSD,13th Gen Intel Core i7-13700H (14C, 20T, up to 5.00 GHz) Mini Computer,Desktop Computer Support 4 Screen Display (4K+8K) /WiFi 6E/BT5.2/RJ45 /Windows 11 Pro","$1,019.15",4.6 out of 5 stars,3,In stock,Computers,"19,998",‎GEEKOM
"Mini PC Stick Fanless MeLE PCG02 Windows 11 Home N4000 4GB/128GB, Mini Computer HDMI 4K 2.4G/5G Wi-Fi 5 BT4.2 Gigabit Ethernet Micro PC on Business Industrial IoT Digital Signage",$199.99,4.5 out of 5 stars,175 ratings,In stock,Computers,"12,540",‎MeLE
"HP 800 G2 Gaming Desktop PC Computer i5-6500 8GB RAM 128GB SSD, 2GB NVIDIA GT 1030, Wi-Fi (Renewed)",$349.99,5.0 out of 5 stars,4 ratings,Only 5 left in stock.,Computers,"34,943",‎HP
Allied Javelin ITX Intel Core i5-12400F | RX 6650 XT 8GB | 16GB RAM | SSD | Win 11 | Gaming PC | Desktop Computer,"$1,299.00",Previous page of related Sponsored Products,,In stock,Computers,"119,958",‎A ALLIED GAME AS ONE.
