title,price,rating,reviews,availability,category,sales_rank,brand
"Fanless i7 Industrial Mini PC Firewall Micro Appliance,Intel 12th i7-1260P Dual Ethernet Mini Desktop Computer Dual Channel 16GB DDR4 RAM 512GB NVME SSD,4K Dual HD Display/DP/Thunderbolt 4 /USB*8","$2,724.14",5.0 out of 5 stars,3 ratings,In stock,,,‎NEOSMAY
Dell OptiPlex 3070 Desktop Computer - Intel Core i5-9500 - 8GB RAM - 256GB SSD - Small Form Factor,"$1,591.15",3.9 out of 5 stars,70,In stock,,,‎DELL
"MeLE Quieter3Q Fanless Mini PC Windows 11 Pro Celeron N5105 Small Desktop Computer 8G LPDDR4 256G ROM Micro Form Factor PC Support WiFi 6,BT 5.2,Gigabit Ethernet,Dual 4K HDMI for Office/Home/Business",$436.59,4.2 out of 5 stars,58 ratings,Only 5 left in stock.,Computers,"56,159",‎MeLE
Radium PCs DEEP Freeze: LVL 6 Ryzen 5 5600 | RTX 3060 12GB |16GB RAM | 1TB SSD | Gaming PC | Desktop Computer,"$1,449.00",5.0 out of 5 stars,2,Not Available,Computers,"97,559",‎Radium PCs
HP EliteDesk 800 G2 35W Mini Desktop PC i5-6500T 2.5GHz 16GB RAM 1TB SSD W10P (Renewed),$449.99,5.0 out of 5 stars,1 rating,In stock,Computers,"75,429",‎HP
"KINGDEL Intel i7 CPU Desktop Computer, Office Computer with 8GB RAM 128GB SSD, 6xCOM, 4xUSB 3.0, 4xUSB 2.0, 2xLAN, GPIO, HD Port, VGA",$654.21,Previous page of related Sponsored Products,,Usually dispatched within 3 to 4 days,Computers,"133,493",‎KINGDEL
KINGDEL K8 Intel Core i9-9880H Desktop Computer W-11 pro Mini Gaming PC 16GB DDR4 RAM 1TB SSD 16MB Cache 8 Cores 16 Threads 2xMemory Channels 2xSSD Slots with Fan,$978.00,Previous page of related Sponsored Products,,Usually dispatched within 3 to 4 days,Computers,"166,003",‎KINGDEL
