title,price,rating,reviews,availability,category,sales_rank,brand
"Kinupute Mini PC with AMD Ryzen 9 7940HS, Upto 5.2GHz, Desktop Computer with 64G DDR5, 1T PCIE4.0 SSD, Windows 11 Pro, HDMI/USB-C, 4K Triple Display, Radeon 780M Graphics, 2.5Gbps LAN, WiFi6E, VESA","$1,568.00",Previous page of related Sponsored Products,,In stock,,,‎Kinupute
Dell OptiPlex 9020M Micro Desktop PC i5-4590T 2.0GHz 8GB RAM 480GB SSD + Wi-Fi (Renewed),$199.99,Previous page of related Sponsored Products,,Only 1 left in stock.,Computers,"91,143",‎DELL
"Beelink AMD Ryzen 7 5700 Mini PC Up to 4.3Ghz, 32GB DDR4 1TB NVME 2280 SSD Mini Computers, WiFi6/BT5.2, 4K Triple Display Mini Desktop Computer","$2,161.16",5.0 out of 5 stars,6 ratings,In stock,,,‎Beelink
"KAMRUI Mini PC 16GB DDR4 RAM, 1TB M.2 NVME SSD Desktop Computers, Intel Alder Lake N95(up to 3.4 GHz) Micro Computer Support 4K UHD/HDMI 2.0/LAN/Dual-Band WiFi for Home Server",$698.42,4.4 out of 5 stars,31 ratings,In stock,,,‎KAMRUI
HP EliteDesk 800 G2 SFF Desktop PC Intel i5-6500 3.2GHz 32GB RAM 1TB SSD Wi-Fi (Renewed),$549.99,5.0 out of 5 stars,3 ratings,Only 1 left in stock.,Computers,"72,787",‎HP
Dell OptiPlex 3000 Tower Desktop PC,"$1,331.44",4.6 out of 5 stars,,Only 2 left in stock.,,,‎DELL
"Thdeukoty Mini Desktop PC AMD Ryzen 7 5800HX Windows 11 Pro, Micro Computer HTPC 16G DDR4 RAM 256G PCIE4.0 NVME SSD, USB3.2, DP/HDMI/Type-C 4K@60Hz Triple Display, 2.5G+1G LAN, WiFi 6 Bluetooth 5.1",$735.35,4.6 out of 5 stars,,Only 1 left in stock.,,,‎Thdeukoty
