title,price,rating,reviews,availability,category,sales_rank,brand
HP EliteDesk 800 G2 SFF Desktop PC Core i7 6th Generation 6700 32GB RAM 1TB SSD Windows 11 Desktop PC with USB WiFi and Bluetooth Dongle (Renewed),$575.00,4.0 out of 5 stars,2 ratings,Only 3 left in stock.,Computers,"38,088",‎HP
"Beelink SEi12Intel Core i7-12650H Mini Pc(up to 4.7GHz) 32G DDR4 500 SSD M.2 2280 SSD Mini Gaming Computer, Integrated Intel UHD Graphics 64EUs 1.4GHz Graphics Card, WiFi 6/Bluetooth 5.2/HDMI/DP",$889.00,4.7 out of 5 stars,10 ratings,In stock,Computers,"19,357",‎Beelink
"Mini PC Ryzen7 7840HS (Up to 5.1GHz, 8C/16T), 32G RAM 500D SSD, TRIGKEY S7 Pro Mini Desktop Computer Equipped with AMD Radeom 780M 12core 2700MHz, DP, HDMI, USB4.0, WiFi-6, BT5.2, 2.5G LAN","$1,099.00",Previous page of related Sponsored Products,,In stock,,,‎TRIGKEY
"Mini PC, Intel 12th Processor N100(up to 3.4GHz) 16G RAM 500G SSD, TRIGKEY Business Mini Desktop Computer,Dual HDMI/WiFi6/BT5.2/100M LAN/, Green G4 Mini desktops",$369.00,3.8 out of 5 stars,16 ratings,In stock,Computers,"24,089",‎TRIGKEY
"Dreamquest Mini Desktop Computer Windows 11 Pro Preinstalled, Intel 12th N95 (up to 3.4GHz) Mini Pc with 32GB RAM 1TB M.2 SSD, USB3.2, BT4.2,WiFi 5,4k HDMI, Gigabit Port for Business Home Office",$459.99,3.5 out of 5 stars,2,In stock,Computers,"20,306",‎DreamQuest
"KAMRUI Mini PC 16GB DDR4 RAM, 1TB M.2 NVME SSD Desktop Computers, Intel Alder Lake N95(up to 3.4 GHz) Micro Computer Support 4K UHD/HDMI 2.0/LAN/Dual-Band WiFi for Home Server",$379.99,4.5 out of 5 stars,630 ratings,In stock,Computers,"33,695",‎KAMRUI
Kogan Atlas G700 Mini PC with Windows 11 Home S (128GB) - KAMPG700PB,$211.95,Previous page of related Sponsored Products,,Usually dispatched within 2 to 3 days,Computers,"138,104",‎Kogan
