title,price,rating,reviews,availability,category,sales_rank,brand
"HP Pavilion Desktop PC, AMD Ryzen 5 4600G Processor 6-core with Radeon Graphics, 12 GB DDR4-3200 SDRAM, 512 GB HD - Windows 10 Home, Multi-Display Capable, 5.1 Surround Sound (TP01-1140)","$2,536.79",4.3 out of 5 stars,128 ratings,Only 3 left in stock.,,,‎HP
Dell OptiPlex 7060 Micro Desktop Computer i5-8500 3.0GHz 8GB RAM 256GB SSD + Wi-Fi (Renewed),$549.99,5.0 out of 5 stars,1,In stock,Computers,"67,381",‎DELL
"Partaker Mini Gaming PC,Desktop Computer,Powerful Mini PC with Intel Core i5-9600KF Processor,Dedicated Graphics GTX1060 6G,32GB DDR4 512GB SSD 1TB HDD,1xType-C,1xHDMI, 1xDisplayPort,1xDVI,Win 10 Pro","$1,657.99",2.9 out of 5 stars,2 ratings,In stock,,,‎Partaker
"Mini PC i9, Desktop Computer with Core i9-12900H, 14 Cores Upto 5.0GHz, Windows 11 Pro, 64G DDR4, 1T M.2 PCIE4.0 SSD, DP/HDMI/USB-C Triple Display, Support 8K/4K@60Hz, Dual LAN, WiFi6E/BT5.3","$1,339.00",4.3 out of 5 stars,4 ratings,In stock,,,‎Kinupute
"MeLE PCG02 Fanless Mini PC Stick Windows 11 Pro,Celeron J4125 8G 256G Micro Desktop Computer Small Form Factor PC Support 4K HDMI,2.4G/5.0G WiFi,BT 4.2,Gigabit Ethernet for Business/Office/Industry",$389.10,4.3 out of 5 stars,40 ratings,Only 5 left in stock.,Computers,"44,070",‎MeLE
"Beelink Mini PC, AMD Ryzen 7 5700U 8 Core(Up to 4.3GHz), 16GB DDR4 RAM 500GB NVMe M.2 SSD, SER5 Pro Mini Desktop Computer Support 4K@60Hz Output/WiFi 6/BT5.2/DP/HDMI/USB-C/USB-A3.2, Gaming/Office/Home",$964.89,4.5 out of 5 stars,138,In stock,,,‎Beelink
"GEEKOM Rose Gold A5 Mini PC,AMD Ryzen7 5800H 32GB DDR4 512G SSD Mini Computer(8C/16T,up to 4.4 GHz),Mini Desktop Computer Support 2*HDMI+2*Type-C Four-Screen 4K+8K Output,WiFi6, BT4.0, USB3.2,WOL,RJ45",$594.15,4.7 out of 5 stars,10,In stock,Computers,"8,402",‎GEEKOM
