title,price,rating,reviews,availability,category,sales_rank,brand
Lenovo Desktop PC M710S/Win 11/Core i5-6500/wajun WIFI/Bluetooth/DP/DVD-RW/16GB/512GB SSD (Renewed),$389.00,1.0 out of 5 stars,1 rating,In stock,Computers,"81,014",‎Lenovo
"HP Envy Desktop PC 10TB SSD 128GB RAM Intel Core i9-13900K Turbo Boost to 5.8GHz, NVIDIA GeForce RTX 12GB GDDR6, Windows 11 Pro","$9,922.43",5.0 out of 5 stars,2,Only 3 left in stock.,,,‎HP
"Dell 3050 Micro Bundle Desktop i5-7500t 2.7GHz 16GB RAM 1TB SSD Windows 11 + Dual 22"" Monitor + Keyboard & Mouse (Renewed)",$549.99,Previous page of related Sponsored Products,,Only 4 left in stock.,Computers,"138,873",‎DELL
HP EliteDesk 800 G4 Mini Desktop PC i5-8500T 2.1GHz 8GB RAM 128GB SSD Windows 11 (Renewed),$249.99,4.0 out of 5 stars,1 rating,In stock,Computers,"20,585",‎HP
"Intel NUC 13 Pro, Arena Canyon Mini Pc with 13th Gen Core i7-1360P (12C/16T & Up to 5.0GHz), 32GB DDR4 RAM & 1TB NVMe SSD, Support 8K, WiFi6E, BT5.3, 2 x Thunderbolt 4, Windows 11 Pro, 18M Cache","$1,499.00",4.5 out of 5 stars,17 ratings,In stock,Computers,"23,603",‎GEEK+
(Renewed) Dell OptiPlex 7040 SFF Desktop PC Core i5 6500 3.20GHz 16GB RAM 240GB SSD Windows 11 with USB WiFi and Bluetooth Dongle,$329.00,4.6 out of 5 stars,4,In stock,Computers,"33,416",‎DELL
"GEEKOM Mini IT12 Mini PC,Intel 12th Gen Core i5-12450H (up to 4.40 GHz) Mini Computer,16GB RAM 512GB SSD,Support Extension,WiFi 6E/BT5.2/2.5GbE LAN RJ45 /Windows 11 Pro Home Office Desktop Computer",$636.65,4.7 out of 5 stars,18 ratings,In stock,Computers,"5,710",‎GEEKOM
