title,price,rating,reviews,availability,category,sales_rank,brand
"Elgato Stream Deck Mini – Compact Studio Controller, 6 macro keys, trigger actions in apps and software like OBS, Twitch, YouTube and more, works with Mac and PC Black 10GAI9901",$99.00,4.7 out of 5 stars,"5,771",In stock,Computers,"1,642",‎Elgato
"GEEKOM A7 Mini PC,Mini Desktop Computer AMD Ryzen 7 7840HS up to 5.1 GHz 32 GB DDR5 1TB SSD HDMI2.0/USB Type-C Wi-Fi 6E/BT5.2, RJ45 2.5G LAN for Business Home Office Game","$1,299.99",5.0 out of 5 stars,4,In stock,Computers,"19,881",‎GEEKOM
"Corsair 4000D Airflow Tempered Glass Mid-Tower ATX Case (High-Airflow Front Panel, Tempered Glass Side Panel, RapidRoute Cable Management System, Spacious Interior, Two Included 120 mm Fans) Black",$130.00,4.7 out of 5 stars,"30,351",In stock,Computers,276,‎CORSAIR
"GEEKOM Mini IT13 Mini PC,13th Gen Intel Core i9-13900H (up to 5.40 GHz) Mini Computer,32GB RAM 2TB SSD, Mini Computer Desktop Support Four-Screen Display(4K+8K)/WiFi 6E/BT5.2/2.5GbE LAN/Windows 11 Pro","$1,399.00",4.8 out of 5 stars,56,In stock,Computers,"2,052",‎GEEKOM
DELL Opitplex 7040 SFF Intel Core i5 6500 Processor 3.2Ghz 8Gb Ram 256Gb SSD HDMI Display Port WiFi Small Form Factor Desktop Windows 10 64Bit (FBA-DELL7040I5WIN10NO1-R) (Renewed),$249.99,4.6 out of 5 stars,41 ratings,Not Available,Computers,"23,827",‎DELL
"Mini PC 10 Pro, 4GB RAM 64GB SSD Mini Desktop Computer with, VGA, 5 X USB 2.0 Ports, 1 X USB3.0, Support 4K Output, Gigabit Ethernet Micro PC for Office",$176.39,1.0 out of 5 stars,1 rating,Only 1 left in stock.,Computers,"86,393",‎BAOL
"All in One Computer, Office All in One PC Desktop Computer, I3 10100 CPU 8GB Memory 256TB SSD 1920x1080P HD Display for Office Home (AU Plug)","$1,037.78",Previous page of related Sponsored Products,,Only 3 left in stock.,,,‎Pomya
