title,price,rating,reviews,availability,category,sales_rank,brand
"GEEKOM Mini IT12 Mini PC,12th Gen Intel Core i7-12650H (up to 4.70 GHz) 32G DDR4 RAM 1TB SSD Mini Computer, Mini Desktop Computer,Support Dual HDMI+Dual USB4.0/WiFi 6E/BT5.2/Windows 11 Pro",$999.00,4.6 out of 5 stars,22 ratings,In stock,Computers,"18,216",‎GEEKOM
"Qcta-Core i9 9880H Mini Desktop PC, Windows 11 Mini Computer, 16GB DDR4 RAM 512GB NVME SSD, UHD Graphics 630,HDMI,DP,USB3.0,Gigabit RJ45 LAN,WiFi AC,Bluetooth,AUTO Power ON,19V Low PC Consumption",$979.99,5.0 out of 5 stars,6 ratings,In stock,,,‎ASPIRING
"Mini Computer Windows 11 Pro, with Dedicated Graphics Card GeForce RTX 4060, Core I3-12100F, 8GB RAM 256GB SSD, Gigabit Ethernet, USB 3.0, HD/DP/DVI, BT, Dual Band WiFi, Gaming Home Small Computer","$1,979.99",Previous page of related Sponsored Products,,Only 1 left in stock.,,,‎ASPIRING
"Beelink SER5 Versatile Mini PC, AMD Ryzen 5 5560U(up to 4.0GHz) 6C/12T, Mini Computer 8GB DDR4 RAM 500GB NVME SSD, Mini Desktop Computer 4K@60Hz Triple Screen Display WiFi6 BT5.2","$1,217.95",4.7 out of 5 stars,5 ratings,In stock,,,‎Beelink
"Industrial Mini PC, Fanless Desktop Computer Core i7-1165G7 2.8-4.7GHz, Windows 11 Pro, 16G DDR4 RAM, 512G SSD, VGA/HDMI 4K@60Hz, 2x2.5G LAN Ports, 6xCOM RS232, 4G Module, WiFi6/BT5.2",$712.00,5.0 out of 5 stars,2 ratings,In stock,,,‎Kinupute
"Intel Nuc 12, NUC12WSHi5 Wall Stree Canyon Mini PC Desktop, Win 11 Pro Mini Computer, Core i5-1240P Processor, 12 Core, 12MB Cache, Iris Xe Graphics, WiFi6E, Thunderbolt 4 (16 GB RAM+5 12 GB PCIe SSD)",$919.00,4.4 out of 5 stars,12,Only 4 left in stock.,Computers,"52,249",‎geeknuc
Dell Optiplex 7050 SFF Desktop Intel i7-7700 8GB RAM 256GB SSD W10 (Renewed),Page 1 of 1,Previous page of related Sponsored Products,,Not Available,Computers,"152,915",‎DELL
