title,price,rating,reviews,availability,category,sales_rank,brand
"Mini Computer Windows 11 Pro, with Dedicated Graphics Card GeForce RTX 4060, Core I3-12100F, 8GB RAM 256GB SSD, Gigabit Ethernet, USB 3.0, HD/DP/DVI, BT, Dual Band WiFi, Gaming Home Small Computer","$1,979.99",Previous page of related Sponsored Products,,Only 1 left in stock.,,,‎ASPIRING
"GEEKOM Mini IT13 Mini PC,13th Gen Intel Core i9-13900H (up to 5.40 GHz) Mini Computer,32GB RAM 2TB SSD, Mini Computer Desktop Support Four-Screen Display(4K+8K)/WiFi 6E/BT5.2/2.5GbE LAN/Windows 11 Pro","$1,399.00",4.8 out of 5 stars,56 ratings,In stock,Computers,"2,052",‎GEEKOM
"GEEKOM IT11 Windows 11 Pro Mini PC,11th Gen Intel Core i7-11390H (4C, 8T, up to 5.00 GHz) Mini Computer,32GB DDR4 RAM 1TB SSD,Mini Desktop Computer Support WiFi 6/BT5.2/1000M LAN/USB4+USB3.2",$899.00,4.8 out of 5 stars,49 ratings,In stock,Computers,"4,149",‎GEEKOM
"Fanless Mini PC N100, MeLE Quieter4C 8GB 256GB USB-C 4K Triple Display Mini Computer Windows 11 Pro 2.4G/5G WiFi BT5.1 Gigabit Ethernet Micro PC Support M.2 SSD on Business Industrial IoT Office Home",$349.99,4.4 out of 5 stars,306 ratings,In stock,Computers,"8,524",‎MeLE
"Intel Core i3 2120 CPU @3.3Ghz, 16GB RAM, 240GB SSD, Win 11 Pro - PC Desktop/Office/Basic Gaming",$389.00,Previous page of related Sponsored Products,,Only 1 left in stock.,Computers,"212,080",‎Generic
"Mini PC, Desktop Computer with Core i9-13900H, 14 Cores Upto 5.4GHz, Windows 11 Pro, 32G DDR4, 512G M.2 PCIE4.0 SSD, DP/HDMI/USB-C Triple Display, Support 8K/4K@60Hz, Dual LAN, WiFi6E/BT5.3","$1,192.00",Previous page of related Sponsored Products,,In stock,,,‎Kinupute
"Apple 2023 Mac Mini Desktop Computer with Apple M2 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad","$1,088.92",4.6 out of 5 stars,18,In stock,,,
