title,price,rating,reviews,availability,category,sales_rank,brand
"Corsair 4000D Airflow Tempered Glass Mid-Tower ATX Case (High-Airflow Front Panel, Tempered Glass Side Panel, RapidRoute Cable Management System, Spacious Interior, Two Included 120 mm Fans) Black",$130.00,4.7 out of 5 stars,"30,351",In stock,Computers,276,‎CORSAIR
"GEEKOM A7 Mini PC,Mini Desktop Computer AMD Ryzen 7 7840HS up to 5.1 GHz 32 GB DDR5 1TB SSD HDMI2.0/USB Type-C Wi-Fi 6E/BT5.2, RJ45 2.5G LAN for Business Home Office Game","$1,299.99",5.0 out of 5 stars,4,In stock,Computers,"19,881",‎GEEKOM
"GEEKOM Rose Gold A5 Mini PC,AMD Ryzen7 5800H 32GB DDR4 512G SSD Mini Computer(8C/16T,up to 4.4 GHz),Mini Desktop Computer Support 2*HDMI+2*Type-C Four-Screen 4K+8K Output,WiFi6, BT4.0, USB3.2,WOL,RJ45",$594.15,4.7 out of 5 stars,10 ratings,In stock,Computers,"8,402",‎GEEKOM
"Elgato Stream Deck Mini – Compact Studio Controller, 6 macro keys, trigger actions in apps and software like OBS, Twitch, YouTube and more, works with Mac and PC Black 10GAI9901",$99.00,4.7 out of 5 stars,"5,771",In stock,Computers,"1,642",‎Elgato
"GEEKOM XT12 Pro Mini PC,Intel Core i9-12900H（14C/20T/24MB） Mini Desktop Computer,32GB DDR4 RAM 1TB M.2 PCIe SSD, Windows 11 Pro Preinstalled,4-Screen Display，WiFi 6E, BT 5.2,USB4,2.5GbE LAN Port","$1,299.00",Previous page of related Sponsored Products,,In stock,,,‎GEEKOM
"PELADN HA-4 Mini Gaming PC, AMD Ryzen 7 7840HS (8C/16T, Max 5.1GHz) Win11 Pro, 32GB DDR5 5600Mhz RAM and 1T SSD, 4K UHD/BT5.2/Dual HDMI/WiFi6 2.4G/5G, Metal Shell with RGB Lighting, Mini PC for Game","$1,099.00",3.7 out of 5 stars,23 ratings,Only 4 left in stock.,Computers,"56,733",‎PELADN
"Thermaltake Computer System Genesis V3 Xtreme Gaming PC - Intel 12400F / RTX 3060 / B660 WiFi / 16GB RGB RAM / V150 ARGB, CA-4Y1-00D1WA-03","$1,473.00",3.7 out of 5 stars,8 ratings,Only 1 left in stock (more on the way).,Computers,"38,461",‎Thermaltake
